code;libelle français;libelle anglais
A503;"Agence de travail temporaire";"Temporary employment agency"
B201;"Supérette";"Convenience store"
A405;"Électricien";"Electrician"
A401;"Maçon";"Mason"
B202;"Épicerie";"Grocery store"
B103;"Grande surface de bricolage";"Large DIY area"
B207;"Boulangerie-pâtisserie";"Bakery pastry"
A504;"Restaurant- restauration rapide";"Fast food restaurant"
A406;"Entreprise générale du bâtiment";"General building company"
B208;"Commerce spécialisé en fruits et légumes";"Trade specializing in fruit and vegetables"
B204;"Boucherie charcuterie";"Butchery and delicatessen"
B303;"Magasin d’équipements du foyer";"Home equipment store"
B104;"Hypermarché et grand magasin";"Hypermarket and department store"
A505;"Agence immobilière";"Real estate agency"
B304;"Magasin de chaussures";"Shoe shop"
B209;"Commerce de boissons";"Beverage trade"
B309;"Droguerie quincaillerie bricolage";"DIY hardware store"
B205;"Produits surgelés";"Frozen products"
B105;"Supermarché et magasin multi-commerce";"Supermarket and multi-commerce store"
B306;"Magasin de meubles";"Furniture store"
B310;"Parfumerie-cosmétique";"Perfumery-cosmetics"
B210;"Autres commerces alimentaires";"Other food businesses"
B315;"Magasin de matériel médical et orthopédique";"Medical and orthopedic equipment store"
B206;"Poissonnerie";"Fish shop"
B316;"Station-service";"Gas station"
B311;"Horlogerie-bijouterie";"Watchmaking and jewelry"
B307;"Magasin d’articles de sports et de loisirs";"Sports and leisure goods store"
B320;"Commerce de combustibles domestiques";"Trade in domestic fuels"
B302;"Magasin de vêtements";"Clothing store"
B325;"Papeterie et presse";"Stationery and press"
B321;"Magasin électroménager, matériel audio vidéo informatique";"Household appliances store, computer audio video equipment"
B312;"Fleuriste-jardinerie-animalerie";"Florist-gardener-pet store"
B317;"Commerce de tissus et mercerie";"Trade of fabrics and haberdashery"
C201;"Collège";"College"
B308;"Magasin de revêtements murs et sols";"Wall and floor coverings store"
B326;"Station de recharge de véhicules électriques";"Electric Vehicle Charging Station"
C305;"Sep section d’enseignement professionnel";"Sep professional education section"
C401;"Sts section technicien supérieur, cpge classe préparatoire aux grandes écoles";"Sts higher technician section, cpge preparatory class for the grandes écoles"
B322;"Magasin de matériels de télécommunication";"Telecommunications equipment store"
B313;"Magasin d’optique";"Optical store"
C301;"Lycée d’enseignement général et/ou technologique";"General and/or technological high school"
C502;"Institut universitaire";"University Institute"
B318;"Commerce de jeux et jouets";"Games and toys trade"
C107;"École maternelle";"Kindergarten"
C403;"Formation commerce";"Business training"
C503;"École d’ingénieurs";"Engineering school"
C610;"Organisme de formation en apprentissage";"Apprenticeship Training Organization"
B323;"Commerce de biens d’occasion";"Trade in second-hand goods"
D103;"Établissement de soins de longue durée";"Long-stay health establishment"
C504;"Enseignement général supérieur privé";"Private higher general education"
D104;"Établissement psychiatrique";"Psychiatric facility"
C409;"Autre formation post bac non universitaire";"Other non-university post-baccalaureate training"
C302;"Lycée d’enseignement professionnel";"Vocational high school"
C701;"Résidence universitaire";"Student housing"
C108;"École primaire";"Primary school"
C505;"École d’enseignement supérieur agricole";"School of higher agricultural education"
B319;"Maroquinerie et articles de voyage";"Leather goods and travel items"
D109;"Structure psychiatrique en ambulatoire";"Outpatient psychiatric structure"
C509;"Autre enseignement supérieur";"Other higher education"
D110;"Centre de médecine préventive";"Preventive medicine center"
C410;"École de formation aux professions sanitaires et sociales";"Training School for Health and Social Professions"
D114;"Service de prise en charge des addictions";"Addiction Support Service"
B324;"Librairie";"Library"
D105;"Centre de lutte contre le cancer";"Cancer center"
D115;"Services de santé maternelle et infantile";"Maternal and Child Health Services"
C702;"Restaurant universitaire";"University restaurant"
C303;"Lycée d’enseignement technique et/ou professionnel agricole";"High school for technical and/or professional agricultural education"
C602;"Greta";"Greta"
D106;"Urgences";"Emergencies"
D250;"Psychologue";"Psychologist"
C501;"Ufr";"Ufr"
C109;"École élémentaire";"Elementary School"
D111;"Dialyse";"Dialysis"
D255;"Endocrinologue";"Endocrinologist"
C603;"Centre dispensant de la formation continue agricole";"Center providing continuing agricultural training"
D101;"Établissement de soins de courte durée";"Short stay health establishment"
D245;"Professionnels de l’appareillage";"Orthotic and Prosthetic Professionals"
C304;"Sgt section d’enseignement général et technologique";"Sgt general and technological education section"
D262;"Urologue, néphrologue";"Urologist, Nephrologist"
D256;"Gériatre";"Geriatrician"
D251;"Allergologue";"Allergist"
D107;"Maternité";"Maternity"
D112;"Hospitalisation à domicile";"Hospitalization at home"
D269;"Spécialiste en psychiatrie";"Psychiatry Specialist"
D247;"Ergothérapeute";"Occupational Therapist"
C604;"Formation aux métiers du sport";"Training for sports professions"
D257;"Hématologue";"Hematologist"
D102;"Établissement de soins de suite et de réadaptation";"Medium stay health establishment"
D252;"Anesthésiste-réanimateur";"Anesthesiologist-Intensivist"
D258;"Spécialiste en médecine physique et de réadaptation";"Specialist in Physical Medicine and Rehabilitation"
D274;"Spécialiste en radiodiagnostic et imagerie médicale";"Specialist in Radiodiagnosis and Medical Imaging"
D265;"Médecin généraliste";"General Practitioner"
D108;"Centre de santé";"Health center"
D248;"Psychomotricien";"Psychomotor Therapist"
D270;"Spécialiste en ophtalmologie";"Ophthalmology Specialist"
D113;"Maison de santé pluridisciplinaire";"Multidisciplinary health center"
D259;"Neurologue";"Neurologist"
D279;"Masseur kinésithérapeute";"Physiotherapist "
D253;"Spécialiste en chirurgie générale";"General Surgery Specialist"
D275;"Spécialiste en stomatologie";"Stomatology Specialist"
D304;"Transfusion sanguine";"Blood transfusion"
D266;"Spécialiste en cardiologie";"Cardiology Specialist"
D403;"Personnes âgées : services d’aide";"Elderly people: support services"
D271;"Spécialiste en oto-rhino-laryngologie";"Otorhinolaryngology Specialist"
D260;"Spécialiste en oncologie, anatomie et cytologie pathologiques";"Specialist in Oncology, Anatomical Pathology, and Cytology"
D280;"Pédicure-podologue";"Chiropodist-Podiatrist"
D249;"Diététicien";"Dietitian"
D254;"Spécialiste en chirurgie orthopédique, plastique et traumatologique";"Specialist in Orthopedic, Plastic, and Traumatologic Surgery"
D305;"Établissement thermal";"Thermal establishment"
D502;"Établissement d’accueil du jeune enfant";"Child care establishment (ECJE)"
D276;"Spécialiste en gynécologie médicale et/ou obstétrique";"Specialist in Medical and/or Obstetric Gynecology"
D506;"Centres sociaux";"Social centers"
D267;"Spécialiste en dermatologie vénéréologie";"Specialist in Dermatology and Venereology"
D507;"Médiation familiale";"Family mediation"
D307;"Pharmacie";"Pharmacy"
D261;"Rhumatologue";"Rheumatologist"
D503;"Lieux d'accueil enfant-parent";"Child-parent reception places (LAEP)"
D272;"Spécialiste en pédiatrie";"Pediatrics Specialist"
D277;"Chirurgien dentiste";"Dental Surgeon"
D281;"Infirmier";"Nurse"
D268;"Spécialiste en gastro-entérologie hépatologie";"Specialist in Gastroenterology and Hepatology"
D601;"Enfants handicapés : hébergement";"Disabled children: accommodation"
D401;"Personnes âgées : hébergement";"Elderly people: accommodation"
D273;"Spécialiste en pneumologie";"Pulmonology Specialist"
D504;"Relais petite enfance";"Early childhood relay"
D278;"Sage-femme";"Midwife"
D302;"Laboratoire d analyses et de biologie médicale";"Medical analysis and biology laboratory"
D602;"Enfants handicapés : services à domicile ou ambulatoires";"Disabled children: home or outpatient services"
D402;"Personnes âgées : soins à domicile";"Elderly people: home care"
D505;"Accueil de loisir sans hébergement";"Leisure reception without accommodation (ALSH)"
D303;"Ambulance";"Ambulance"
D603;"Adultes handicapés : accueil/hébergement";"Disabled adults: reception/accommodation"
D604;"Adultes handicapés : services d’aide";"Adults with disabilities: support services"
D605;"Travail protégé";"Protected work"
D702;"Protection de l’enfance : action éducative";"Child protection - educational action"
D703;"Centre d’hébergement et de réinsertion sociale";"Chrs: accommodation and social reintegration center"
D711;"Service d’aide aux femmes en situation de vulnérabilité";"Service for Assistance to Women in Vulnerable Situations"
E101;"Taxi-vtc";"Taxi-vtc"
D606;"Adultes handicapés : services de soins à domicile";"Disabled adults: home care services"
F101;"Bassin de natation";"Swimming pool"
D704;"Centre provisoire d’hébergement";"Temporary accommodation center"
F102;"Boulodrome";"Boulodrome"
E102;"Aéroport";"Airport"
D607;"Service d’aide aux déficients visuels ou auditifs";"Service for Assistance to Visually or Hearing Impaired Persons"
F108;"Terrain de golf";"Golf field"
D705;"Centre d'accueil de demandeurs d’asile";"Asylum seeker reception center"
E107;"Gare de voyageurs d’intérêt national";"Passenger station of national interest"
F103;"Tennis";"Tennis"
D701;"Protection de l’enfance : hébergement";"Child protection - accommodation"
F114;"Salles de combat";"Battle Rooms"
F109;"Parcours sportif/santé";"Sports/health course"
E108;"Gare de voyageurs d’intérêt régional";"Regional passenger station"
D710;"Autres hébergements pour adultes et familles en difficulté";"Other Accommodations for Adults and Families in Difficulty"
F116;"Salles non spécialisées";"Non-specialized rooms"
F105;"Domaine skiable";"Ski area"
E109;"Gare de voyageurs d’intérêt local";"Local Interest Passenger Station"
F106;"Centre équestre";"Riding stable"
F110;"Sports de glace";"Ice sports"
F118;"Sports nautiques";"Nautical sports"
F121;"Salles multisports, gymnases";"Multisports halls (gymnasiums)"
F111;"Plateaux et terrains de jeux extérieurs";"Outdoor platforms and playgrounds"
F126;"Site de modélisme";"Modeling site"
F122;"Circuit / piste de sports mécaniques";"Motor sports circuit/track"
F107;"Athlétisme";"Athletics"
F127;"Structure artificielle d’escalade";"Artificial Climbing Structure"
F119;"Bowling";"Bowling"
F201;"Baignade aménagée";"Swimming facilities"
F202;"Port de plaisance – mouillage";"Marina – anchorage"
F113;"Terrains de grands jeux";"Playgrounds"
F307;"Bibliothèque";"Library"
F123;"Mur et fronton";"Wall and pediment"
F120;"Salles de remise en forme";"Fitness rooms"
F203;"Boucle de randonnée et parcours de course d’orientation";"Hiking loop and orienteering course"
F128;"Équipements de cyclisme";"Cycling Equipment"
G101;"Agence de voyage";"Travel agency"
F312;"Exposition et médiation culturelle";"Exhibition and cultural mediation"
F204;"Équipements de sports de nature";"Nature sports equipment"
F124;"Pas de tir";"shooting area"
G102;"Hôtel";"Hotel"
F129;"Salles spécialisées";"Specialized Rooms"
F303;"Cinéma";"Movie theater"
F125;"Site d'activités aériennes";"Aerial activities site"
F313;"Espace remarquable et patrimoine";"Remarkable space and heritage"
F130;"Skatepark & vélo-freestyle";"Skatepark & BMX/Freestyle Bike Park"
F305;"Conservatoire";"Conservatory"
F314;"Archives";"Archives"
G103;"Camping";"Camping"
F315;"Arts du spectacle";"Performing Arts"
G104;"Information touristique";"Tourist information"
G105;"Autres hébergements collectifs touristiques";"Other collective tourist accommodation (AHCT)"
_T;"Total";"Total"
