code;libelle français;libelle anglais
D110;"Centre de médecine préventive";"Preventive medicine center"
C303;"Lycée d’enseignement technique et/ou professionnel agricole";"High school for technical and/or professional agricultural education"
B315;"Magasin de matériel médical et orthopédique";"Medical and orthopedic equipment store"
D401;"Personnes âgées : hébergement";"Elderly people: accommodation"
D105;"Centre de lutte contre le cancer";"Cancer center"
D276;"Spécialiste en gynécologie médicale et/ou obstétrique";"Specialist in Medical and/or Obstetric Gynecology"
B321;"Magasin électroménager, matériel audio vidéo informatique";"Household appliances store, computer audio video equipment"
D257;"Hématologue";"Hematologist"
D271;"Spécialiste en oto-rhino-laryngologie";"Otorhinolaryngology Specialist"
D266;"Spécialiste en cardiologie";"Cardiology Specialist"
D253;"Spécialiste en chirurgie générale";"General Surgery Specialist"
D258;"Spécialiste en médecine physique et de réadaptation";"Specialist in Physical Medicine and Rehabilitation"
D402;"Personnes âgées : soins à domicile";"Elderly people: home care"
C505;"École d’enseignement supérieur agricole";"School of higher agricultural education"
D277;"Chirurgien dentiste";"Dental Surgeon"
D280;"Pédicure-podologue";"Chiropodist-Podiatrist"
D602;"Enfants handicapés : services à domicile ou ambulatoires";"Disabled children: home or outpatient services"
D259;"Neurologue";"Neurologist"
D267;"Spécialiste en dermatologie vénéréologie";"Specialist in Dermatology and Venereology"
D603;"Adultes handicapés : accueil/hébergement";"Disabled adults: reception/accommodation"
D272;"Spécialiste en pédiatrie";"Pediatrics Specialist"
D111;"Dialyse";"Dialysis"
B316;"Station-service";"Gas station"
D702;"Protection de l’enfance : action éducative";"Child protection - educational action"
D703;"Centre d’hébergement et de réinsertion sociale";"Chrs: accommodation and social reintegration center"
D278;"Sage-femme";"Midwife"
D502;"Établissement d’accueil du jeune enfant";"Child care establishment (ECJE)"
D302;"Laboratoire d analyses et de biologie médicale";"Medical analysis and biology laboratory"
D261;"Rhumatologue";"Rheumatologist"
D268;"Spécialiste en gastro-entérologie hépatologie";"Specialist in Gastroenterology and Hepatology"
D273;"Spécialiste en pneumologie";"Pulmonology Specialist"
D605;"Travail protégé";"Protected work"
F101;"Bassin de natation";"Swimming pool"
D303;"Ambulance";"Ambulance"
D601;"Enfants handicapés : hébergement";"Disabled children: accommodation"
D606;"Adultes handicapés : services de soins à domicile";"Disabled adults: home care services"
F102;"Boulodrome";"Boulodrome"
D704;"Centre provisoire d’hébergement";"Temporary accommodation center"
F108;"Terrain de golf";"Golf field"
D705;"Centre d'accueil de demandeurs d’asile";"Asylum seeker reception center"
F114;"Salles de combat";"Battle Rooms"
D304;"Transfusion sanguine";"Blood transfusion"
D701;"Protection de l’enfance : hébergement";"Child protection - accommodation"
F109;"Parcours sportif/santé";"Sports/health course"
F127;"Structure artificielle d’escalade";"Artificial Climbing Structure"
F103;"Tennis";"Tennis"
F116;"Salles non spécialisées";"Non-specialized rooms"
E01G;"GARES";"Stations"
D305;"Établissement thermal";"Thermal establishment"
G102;"Hôtel";"Hotel"
F129;"Salles spécialisées";"Specialized Rooms"
F119;"Bowling";"Bowling"
F110;"Sports de glace";"Ice sports"
G103;"Camping";"Camping"
E101;"Taxi-vtc";"Taxi-vtc"
F130;"Skatepark & vélo-freestyle";"Skatepark & BMX/Freestyle Bike Park"
F106;"Centre équestre";"Riding stable"
F120;"Salles de remise en forme";"Fitness rooms"
F111;"Plateaux et terrains de jeux extérieurs";"Outdoor platforms and playgrounds"
G104;"Information touristique";"Tourist information"
E102;"Aéroport";"Airport"
F307;"Bibliothèque";"Library"
F121;"Salles multisports, gymnases";"Multisports halls (gymnasiums)"
F113;"Terrains de grands jeux";"Playgrounds"
G101;"Agence de voyage";"Travel agency"
F107;"Athlétisme";"Athletics"
